,type,doi,booktitle,title,author,ENTRYTYPE,ID,year,journal
21,Conference Proceedings,10.1109/ICCCT2.2019.8824945,"""2019 Proceedings of the 3rd International Conference on Computing and Communications Technologies, ICCCT 2019""",AQUACHAIN-Water Supply-Chain management using Distributed Ledger Technology,"N., Maouriyan and A.G.A., Krishna",inproceedings,Maouriyan:2019:1,,
22,Journal Article,10.1016/j.pmcj.2019.04.010,,IoTPatchPool: Incentivized delivery network of IoT software updates based on proofs-of-distribution,"O., Leiba and R., Bitton and Y., Yitzchak and A., Nadler and D., Kashi and A., Shabtai",article,Leiba:2019:1,2019,Pervasive and Mobile Computing
23,Conference Proceedings,10.1109/ISVLSI.2019.00112,"""Proceedings of IEEE Computer Society Annual Symposium on VLSI, ISVLSI""",Countering Botnet of Things using Blockchain-Based Authenticity Framework,"P., Cui and U., Guin",inproceedings,Cui:2019:1,,
24,Journal Article,10.1016/j.future.2019.07.030,,Trust management in a blockchain based fog computing platform with trustless smart oracles,"P., Kochovski and S., Gec and V., Stankovski and M., Bajec and P.D., Drobintsev",article,Kochovski:2019:1,2019,Future Generation Computer Systems
25,Conference Proceedings,10.1109/ICPHYS.2019.8780161,"""Proceedings - 2019 IEEE International Conference on Industrial Cyber Physical Systems, ICPS 2019""",A blockchain-based data sharing scheme in the supply chain by IIoT,"Q., Wen and Y., Gao and Z., Chen and D., Wu",inproceedings,Wen:2019:1,,
26,Journal Article,10.1016/j.cose.2019.05.006,,BEST: Blockchain-based secure energy trading in SDN-enabled intelligent transportation system,"R., Chaudhary and A., Jindal and G.S., Aujla and S., Aggarwal and N., Kumar and K.-K.R., Choo",article,Chaudhary:2019:1,2019,Computers and Security
27,Journal Article,10.1177/1550147719844159,,SH-BlockCC: A secure and efficient Internet of things smart home architecture based on cloud computing and blockchain technology,"S., Singh and I.-H., Ra and W., Meng and M., Kaur and G.H., Cho",article,Singh:2019:1,2019,International Journal of Distributed Sensor Networks
28,Journal Article,10.1016/j.future.2019.06.025,,Privacy aware decentralized access control system,"S., Shafeeq and M., Alam and A., Khan",article,Shafeeq:2019:1,2019,Future Generation Computer Systems
29,Conference Proceedings,10.1109/WF-IoT.2019.8767356,"""IEEE 5th World Forum on Internet of Things, WF-IoT 2019 - Conference Proceedings""",DCACI: A decentralized lightweight capability based access control framework using iota for internet of things,"S.K., Pinjala and K.M., Sivalingam",inproceedings,Pinjala:2019:1,,
30,Conference Proceedings,10.1109/PERCOMW.2019.8730816,"""2019 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2019""",Emergency Service for Smart Home System Using Ethereum Blockchain: System and Architecture,"T., Tantidham and Y.N., Aung",inproceedings,Tantidham:2019:1,,
31,Conference Proceedings,10.1109/VTCSpring.2019.8746499,IEEE Vehicular Technology Conference,DrivMan: Driving trust management and data sharing in VANETs with blockchain and smart contracts,"U., Javaid and M.N., Aman and B., Sikdar",inproceedings,Javaid:2019:1,,
32,Conference Proceedings,10.1109/WoWMoM.2019.8793041,"""20th IEEE International Symposium on A World of Wireless, Mobile and Multimedia Networks, WoWMoM 2019""",Trusted D2D-based IoT resource access using smart contracts,"V.A., Siris and D., Dimopoulos and N., Fotiou and S., Voulgaris and G.C., Polyzos",inproceedings,Siris:2019:1,,
33,Journal Article,10.3390/app9102058,,Identity management and access control based on blockchain under edge computing for the industrial internet of things,"Y., Ren and F., Zhu and J., Qi and J., Wang and A.K., Sangaiah",article,Ren:2019:1,2019,Applied Sciences (Switzerland)
34,Journal Article,10.1109/TII.2019.2908497,,Bsis: Blockchain-based secure incentive scheme for energy delivery in vehicular energy network,"Y., Wang and Z., Su and N., Zhang",article,Wang:2019:1,2019,IEEE Transactions on Industrial Informatics
35,Journal Article,10.1109/TII.2019.2903559,,Blockchain-empowered decentralized storage in air-to-ground industrial networks,"Y., Zhu and G., Zheng and K.-K., Wong",article,Zhu:2019:1,2019,IEEE Transactions on Industrial Informatics
36,Journal Article,10.1016/j.jpdc.2019.06.001,,Blockchain based privacy-preserving software updates with proof-of-delivery for Internet of Things,"Y., Zhao and Y., Liu and A., Tian and Y., Yu and X., Du",article,Zhao:2019:1,2019,Journal of Parallel and Distributed Computing
37,Journal Article,10.3390/electronics8070752,,Scalable and secure internet of things connectivity,"Y.-J., Choi and H.-J., Kang and I.-G., Lee",article,Choi:2019:1,2019,Electronics (Switzerland)
38,Journal Article,10.1109/ACCESS.2019.2940227,,Blockchain-Driven IoT for Food Traceability with an Integrated Consensus Mechanism,"Y.P., Tsang and K.L., Choy and C.H., Wu and G.T.S., Ho and H.Y., Lam",article,Tsang:2019:1,2019,IEEE Access
39,Conference Proceedings,10.1109/JCSSE.2019.8864210,JCSSE 2019 - 16th International Joint Conference on Computer Science and Software Engineering: Knowledge Evolution Towards Singularity of Man-Machine Intelligence,Development of reliable wireless communication system for secure blockchain-based energy trading,"Z., Huang and K., Suankaewmanee and J., Kang and D., Niyato and N.P., Sin",inproceedings,Huang:2019:1,,
40,Journal Article,10.1109/JIOT.2019.2908861,,Credit-Based Payments for Fast Computing Resource Trading in Edge-Assisted Internet of Things,"Z., Li and Z., Yang and S., Xie and W., Chen and K., Liu",article,Li:2019:1,2019,IEEE Internet of Things Journal
41,Conference Proceedings,10.1109/DCOSS.2019.00123,"""Proceedings - 15th Annual International Conference on Distributed Computing in Sensor Systems, DCOSS 2019""",ParkChain: An IoT parking service based on blockchain,"Z., Zinonos and P., Christodoulou and A., Andreou and S., Chatzichristofis",inproceedings,Zinonos:2019:1,,
