"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3211946","Uzair  Javaid and Ang Kiang Siang and Muhammad Naveed Aman and Biplab  Sikdar","","","","Mitigating loT Device Based DDoS Attacks Using Blockchain","71--76","","6","Distributed Denial of Service (DDoS), Ethereum, Internet of Things (IoT), Smart Contract","10.1145/3211933.3211946","","","","","","","2018","","Proceedings of the 1st Workshop on Cryptocurrencies and Blockchains for Distributed Systems","CryBlock'18","","978-1-4503-5838-5","Munich, Germany","ACM","New York, NY, USA"
"article","3180470","Jianli  Pan and Zhicheng  Yang","","","","Cybersecurity Challenges and Opportunities in the New Edge Computing + IoT World","29--32","","4","artificial intelligence, blockchain, cybersecurity, deep learning, edge computing, internet of things, iot","10.1145/3180465.3180470","","","","","","","2018","","Proceedings of the 2018 ACM International Workshop on Security in Software Defined Networks & Network Function Virtualization","SDN-NFV Sec'18","","978-1-4503-5635-0","Tempe, AZ, USA","ACM","New York, NY, USA"
"article","3131562","Aron  Laszka and Abhishek  Dubey and Michael  Walker and Doug  Schmidt","","","","Providing Privacy, Safety, and Security in IoT-based Transactive Energy Systems Using Distributed Ledgers","13:1--13:8","13","8","anonymity, blockchain, internet of things, privacy, security, smart grid, transactive energy, transactive microgrid","10.1145/3131542.3131562","","","","","","","2017","","Proceedings of the Seventh International Conference on the Internet of Things","IoT '17","","978-1-4503-5318-2","Linz, Austria","ACM","New York, NY, USA"
"article","3265692","Jun  Lin and Zhiqi  Shen and Anting  Zhang and Yueting  Chai","","","","Blockchain and IoT Based Food Traceability for Smart Agriculture","3:1--3:6","3","6","Blockchain, Edge Computing, Food Traceability, Internet of Things, LPWAN, Smart Agriculture","10.1145/3265689.3265692","","","","","","","2018","","Proceedings of the 3rd International Conference on Crowd Science and Engineering","ICCSE'18","","978-1-4503-6587-1","Singapore, Singapore","ACM","New York, NY, USA"
"article","3178301","Ahmed Abdullah Ali and Iman A. El-Dessouky and Mahmoud M. Abdallah and Azza K. Nabih","","","","The Quest for Fully Smart Autonomous Business Networks in IoT Platforms","13--18","","6","Blockchain, Consensus, Distributed Ledger, HyperLedger, Internet of Things, IoT Platforms, Smart Contracts","10.1145/3178298.3178301","","","","","","","2017","","Proceedings of the 3rd Africa and Middle East Conference on Software Engineering","AMECSE '17","","978-1-4503-5512-4","Cairo, Egypt","ACM","New York, NY, USA"
"article","3240136","Anas Abou El Kalam and Aissam  Outchakoucht and Hamza  Es-Samaali","","","","Emergence-Based Access Control: New Approach to Secure the Internet of Things","15:1--15:11","15","11","Access Control, Blockchain, Dynamic Policy, Emergence, Internet of Things, Reinforcement Learning, Reputation, Security","10.1145/3240117.3240136","","","","","","","2018","","Proceedings of the 1st International Conference on Digital Tools & Uses Congress","DTUC '18","","978-1-4503-6451-5","Paris, France","ACM","New York, NY, USA"
"article","3055256","Davor  Svetinovic","","","","Blockchain Engineering for the Internet of Things: Systems Security Perspective","1--1","","1","IoT, bitcoin, blockchain, privacy, systems security, trust","10.1145/3055245.3055256","","","","","","","2017","","Proceedings of the 3rd ACM International Workshop on IoT Privacy, Trust, and Security","IoTPTS '17","","978-1-4503-4969-7","Abu Dhabi, United Arab Emirates","ACM","New York, NY, USA"
"article","3205993","Roberto  Di Pietro and Xavier  Salleras and Matteo  Signorini and Erez  Waisbard","","","","A Blockchain-based Trust System for the Internet of Things","77--83","","7","IoT, access control, blockchain, distributed ledger, security","10.1145/3205977.3205993","","","","","","","2018","","Proceedings of the 23Nd ACM on Symposium on Access Control Models and Technologies","SACMAT '18","","978-1-4503-5666-4","Indianapolis, Indiana, USA","ACM","New York, NY, USA"
"article","3205822","Jorge Guerra  Guerra and Felix Armando Fermin  Perez","","","","Inclusion of Blockchain in Course of Distributed Systems at the School of Computer Science","390--390","","1","Blockchain, Computer Science Education, Internet of Things","10.1145/3197091.3205822","","","","","","","2018","","Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE 2018","","978-1-4503-5707-4","Larnaca, Cyprus","ACM","New York, NY, USA"
"article","2998465","Andreas  Bogner and Mathieu  Chanson and Arne  Meeuw","","","","A Decentralised Sharing App Running a Smart Contract on the Ethereum Blockchain","177--178","","2","Blockchain, Decentralised App (DAPP), Ethereum, Sharing, Sharing Economy, Smart Contract, privacy protection","10.1145/2991561.2998465","","","","","","","2016","","Proceedings of the 6th International Conference on the Internet of Things","IoT'16","","978-1-4503-4814-0","Stuttgart, Germany","ACM","New York, NY, USA"
